"1","ベンチプレス","8","12","3","A","0000-00-00 00:00:00","0000-00-00 00:00:00"
"2","スクワット","8","12","3","A","0000-00-00 00:00:00","0000-00-00 00:00:00"
"3","ラットプルダウン","8","12","3","A","0000-00-00 00:00:00","0000-00-00 00:00:00"
"4","クランチ","15","20","3","A","0000-00-00 00:00:00","0000-00-00 00:00:00"
"5","ベンチプレス","8","12","3","B","0000-00-00 00:00:00","0000-00-00 00:00:00"
"6","ショルダープレス","8","12","3","B","0000-00-00 00:00:00","0000-00-00 00:00:00"
"7","ケーブルプッシュダウン","10","15","3","B","0000-00-00 00:00:00","0000-00-00 00:00:00"
"8","クランチ","15","20","3","B","0000-00-00 00:00:00","0000-00-00 00:00:00"
"9","スクワット","8","12","3","C","0000-00-00 00:00:00","0000-00-00 00:00:00"
"10","ラットプルダウン","8","12","3","C","0000-00-00 00:00:00","0000-00-00 00:00:00"
"11","ダンベルカール","8","12","3","C","0000-00-00 00:00:00","0000-00-00 00:00:00"
"12","アブローラー","15","20","3","C","0000-00-00 00:00:00","0000-00-00 00:00:00"
"13","ベンチプレス","8","12","3","D","0000-00-00 00:00:00","0000-00-00 00:00:00"
"14","ショルダープレス","8","12","3","D","0000-00-00 00:00:00","0000-00-00 00:00:00"
"15","サイドレイズ","8","12","3","D","0000-00-00 00:00:00","0000-00-00 00:00:00"
"16","ケーブルプッシュダウン","15","20","3","D","0000-00-00 00:00:00","0000-00-00 00:00:00"
"17","ラットプルダウン","8","12","3","E","0000-00-00 00:00:00","0000-00-00 00:00:00"
"18","シーテッドローイング","8","12","3","E","0000-00-00 00:00:00","0000-00-00 00:00:00"
"19","ダンベルカール","8","12","3","E","0000-00-00 00:00:00","0000-00-00 00:00:00"
"20","クランチ","15","20","3","E","0000-00-00 00:00:00","0000-00-00 00:00:00"
"21","スクワット","8","12","3","F","0000-00-00 00:00:00","0000-00-00 00:00:00"
"22","レッグエクステンション","10","15","3","F","0000-00-00 00:00:00","0000-00-00 00:00:00"
"23","ブルガリアンスクワット","10","15","3","F","0000-00-00 00:00:00","0000-00-00 00:00:00"
"24","アブローラー","15","20","3","F","0000-00-00 00:00:00","0000-00-00 00:00:00"
"25","ベンチプレス","8","12","3","G","0000-00-00 00:00:00","0000-00-00 00:00:00"
"26","ダンベルフライ","10","15","3","G","0000-00-00 00:00:00","0000-00-00 00:00:00"
"27","ショルダープレス","8","12","3","G","0000-00-00 00:00:00","0000-00-00 00:00:00"
"28","ケーブルプッシュダウン","15","20","3","G","0000-00-00 00:00:00","0000-00-00 00:00:00"
"29","スクワット","8","12","3","H","0000-00-00 00:00:00","0000-00-00 00:00:00"
"30","レッグエクステンション","10","15","3","H","0000-00-00 00:00:00","0000-00-00 00:00:00"
"31","ブルガリアンスクワット","10","15","3","H","0000-00-00 00:00:00","0000-00-00 00:00:00"
"32","アブローラー","15","20","3","H","0000-00-00 00:00:00","0000-00-00 00:00:00"
"33","インクラインベンチプレス","8","12","3","I","0000-00-00 00:00:00","0000-00-00 00:00:00"
"34","チェストプレス","8","12","3","I","0000-00-00 00:00:00","0000-00-00 00:00:00"
"35","サイドレイズ","10","15","3","I","0000-00-00 00:00:00","0000-00-00 00:00:00"
"36","バーベルカール","10","15","3","I","0000-00-00 00:00:00","0000-00-00 00:00:00"
"37","ラットプルダウン","8","12","3","J","0000-00-00 00:00:00","0000-00-00 00:00:00"
"38","シーテッドロウ","8","12","3","J","0000-00-00 00:00:00","0000-00-00 00:00:00"
"39","ルーマニアンデッドリフト","8","12","3","J","0000-00-00 00:00:00","0000-00-00 00:00:00"
"40","クランチ","15","20","3","J","0000-00-00 00:00:00","0000-00-00 00:00:00"
"41","ベンチプレス","8","12","3","K","0000-00-00 00:00:00","0000-00-00 00:00:00"
"42","インクラインベンチプレス","8","12","3","K","0000-00-00 00:00:00","0000-00-00 00:00:00"
"43","ケーブルクロスオーバー","10","15","3","K","0000-00-00 00:00:00","0000-00-00 00:00:00"
"44","ケーブルプッシュダウン","15","20","3","K","0000-00-00 00:00:00","0000-00-00 00:00:00"
"45","スクワット","8","12","3","L","0000-00-00 00:00:00","0000-00-00 00:00:00"
"46","レッグエクステンション","10","15","3","L","0000-00-00 00:00:00","0000-00-00 00:00:00"
"47","レッグカール","10","15","3","L","0000-00-00 00:00:00","0000-00-00 00:00:00"
"48","アブローラー","15","20","3","L","0000-00-00 00:00:00","0000-00-00 00:00:00"
"49","チェストプレス","8","12","3","M","0000-00-00 00:00:00","0000-00-00 00:00:00"
"50","ショルダープレス","8","12","3","M","0000-00-00 00:00:00","0000-00-00 00:00:00"
"51","サイドレイズ","10","15","3","M","0000-00-00 00:00:00","0000-00-00 00:00:00"
"52","ディップス","15","20","3","M","0000-00-00 00:00:00","0000-00-00 00:00:00"
"53","ブルガリアンスクワット","8","12","3","N","0000-00-00 00:00:00","0000-00-00 00:00:00"
"54","レッグカール","8","12","3","N","0000-00-00 00:00:00","0000-00-00 00:00:00"
"55","ダンベルカール","8","12","3","N","0000-00-00 00:00:00","0000-00-00 00:00:00"
"56","有酸素運動（自由）","20","30","3","N","0000-00-00 00:00:00","0000-00-00 00:00:00"
"57","ラットプルダウン","10","15","3","O","0000-00-00 00:00:00","0000-00-00 00:00:00"
"58","シーテッドロウ","10","15","3","O","0000-00-00 00:00:00","0000-00-00 00:00:00"
"59","ルーマニアンデッドリフト","10","15","3","O","0000-00-00 00:00:00","0000-00-00 00:00:00"
"60","クランチ","15","20","3","O","0000-00-00 00:00:00","0000-00-00 00:00:00"
"61","ベンチプレス","6","10","3","P","0000-00-00 00:00:00","0000-00-00 00:00:00"
"62","スクワット","6","10","3","P","0000-00-00 00:00:00","0000-00-00 00:00:00"
"63","デッドリフト","6","10","3","P","0000-00-00 00:00:00","0000-00-00 00:00:00"
"64","クランチ","15","20","3","P","0000-00-00 00:00:00","0000-00-00 00:00:00"
"65","ベンチプレス","6","10","3","Q","0000-00-00 00:00:00","0000-00-00 00:00:00"
"66","ショルダープレス","8","12","3","Q","0000-00-00 00:00:00","0000-00-00 00:00:00"
"67","ケーブルプッシュダウン","10","15","3","Q","0000-00-00 00:00:00","0000-00-00 00:00:00"
"68","クランチ","15","20","3","Q","0000-00-00 00:00:00","0000-00-00 00:00:00"
"69","スクワット","6","10","3","R","0000-00-00 00:00:00","0000-00-00 00:00:00"
"70","ラットプルダウン","8","12","3","R","0000-00-00 00:00:00","0000-00-00 00:00:00"
"71","デッドリフト","6","10","3","R","0000-00-00 00:00:00","0000-00-00 00:00:00"
"72","ダンベルカール","15","20","3","R","0000-00-00 00:00:00","0000-00-00 00:00:00"
"73","ベンチプレス","8","12","3","S","0000-00-00 00:00:00","0000-00-00 00:00:00"
"74","ショルダープレス","8","12","3","S","0000-00-00 00:00:00","0000-00-00 00:00:00"
"75","サイドレイズ","8","12","3","S","0000-00-00 00:00:00","0000-00-00 00:00:00"
"76","ケーブルプッシュダウン","15","20","3","S","0000-00-00 00:00:00","0000-00-00 00:00:00"
"77","ラットプルダウン","8","12","3","T","0000-00-00 00:00:00","0000-00-00 00:00:00"
"78","シーテッドロウ","8","12","3","T","0000-00-00 00:00:00","0000-00-00 00:00:00"
"79","ダンベルカール","8","12","3","T","0000-00-00 00:00:00","0000-00-00 00:00:00"
"80","クランチ","15","20","3","T","0000-00-00 00:00:00","0000-00-00 00:00:00"
"81","スクワット","8","12","3","U","0000-00-00 00:00:00","0000-00-00 00:00:00"
"82","レッグエクステンション","10","15","3","U","0000-00-00 00:00:00","0000-00-00 00:00:00"
"83","ブルガリアンスクワット","10","15","3","U","0000-00-00 00:00:00","0000-00-00 00:00:00"
"84","アブローラー","15","20","3","U","0000-00-00 00:00:00","0000-00-00 00:00:00"
"85","ベンチプレス","6","10","3","V","0000-00-00 00:00:00","0000-00-00 00:00:00"
"86","インクラインベンチプレス","8","12","3","V","0000-00-00 00:00:00","0000-00-00 00:00:00"
"87","ダンベルフライ","10","15","3","V","0000-00-00 00:00:00","0000-00-00 00:00:00"
"88","ケーブルプッシュダウン","10","15","3","V","0000-00-00 00:00:00","0000-00-00 00:00:00"
"89","スクワット","6","10","3","W","0000-00-00 00:00:00","0000-00-00 00:00:00"
"90","レッグエクステンション","10","15","3","W","0000-00-00 00:00:00","0000-00-00 00:00:00"
"91","ブルガリアンスクワット","10","15","3","W","0000-00-00 00:00:00","0000-00-00 00:00:00"
"92","アブローラー","10","15","3","W","0000-00-00 00:00:00","0000-00-00 00:00:00"
"93","ショルダープレス","8","12","3","X","0000-00-00 00:00:00","0000-00-00 00:00:00"
"94","サイドレイズ","10","15","3","X","0000-00-00 00:00:00","0000-00-00 00:00:00"
"95","リアレイズ","10","15","3","X","0000-00-00 00:00:00","0000-00-00 00:00:00"
"96","ディップス","15","20","3","X","0000-00-00 00:00:00","0000-00-00 00:00:00"
"97","デッドリフト","6","10","3","Y","0000-00-00 00:00:00","0000-00-00 00:00:00"
"98","ラットプルダウン","10","15","3","Y","0000-00-00 00:00:00","0000-00-00 00:00:00"
"99","シーテッドロウ","10","15","3","Y","0000-00-00 00:00:00","0000-00-00 00:00:00"
"100","ダンベルカール","10","15","3","Y","0000-00-00 00:00:00","0000-00-00 00:00:00"
"101","ベンチプレス","6","10","3","Z","0000-00-00 00:00:00","0000-00-00 00:00:00"
"102","インクラインベンチプレス","8","12","3","Z","0000-00-00 00:00:00","0000-00-00 00:00:00"
"103","ダンベルカール","10","15","3","Z","0000-00-00 00:00:00","0000-00-00 00:00:00"
"104","ケーブルクロスオーバー","10","15","3","Z","0000-00-00 00:00:00","0000-00-00 00:00:00"
"105","ダンベルカール","10","15","3","AA","0000-00-00 00:00:00","0000-00-00 00:00:00"
"106","ケーブルプッシュダウン","10","15","3","AA","0000-00-00 00:00:00","0000-00-00 00:00:00"
"107","インクラインダンベルカール","10","15","3","AA","0000-00-00 00:00:00","0000-00-00 00:00:00"
"108","トライセプスエクステンション","10","15","3","AA","0000-00-00 00:00:00","0000-00-00 00:00:00"
"109","スクワット","6","10","3","AB","0000-00-00 00:00:00","0000-00-00 00:00:00"
"110","レッグエクステンション","10","15","3","AB","0000-00-00 00:00:00","0000-00-00 00:00:00"
"111","レッグカール","10","15","3","AB","0000-00-00 00:00:00","0000-00-00 00:00:00"
"112","ブルガリアンスクワット","10","15","3","AB","0000-00-00 00:00:00","0000-00-00 00:00:00"
"113","ショルダープレス","8","12","3","AC","0000-00-00 00:00:00","0000-00-00 00:00:00"
"114","ダンベルサイドレイズ","10","15","3","AC","0000-00-00 00:00:00","0000-00-00 00:00:00"
"115","ダンベルリアレイズ","10","15","3","AC","0000-00-00 00:00:00","0000-00-00 00:00:00"
"116","ディップス","15","20","3","AC","0000-00-00 00:00:00","0000-00-00 00:00:00"
"117","デッドリフト","6","10","3","AD","0000-00-00 00:00:00","0000-00-00 00:00:00"
"118","ラットプルダウン","8","12","3","AD","0000-00-00 00:00:00","0000-00-00 00:00:00"
"119","ベントオーバーロウ","8","12","3","AD","0000-00-00 00:00:00","0000-00-00 00:00:00"
"120","ハンマーカール","10","15","3","AD","0000-00-00 00:00:00","0000-00-00 00:00:00"
"121","ブルガリアンスクワット","10","15","3","AE","0000-00-00 00:00:00","0000-00-00 00:00:00"
"122","ヒップスラスト","10","15","3","AE","0000-00-00 00:00:00","0000-00-00 00:00:00"
"123","レッグカール","10","15","3","AE","0000-00-00 00:00:00","0000-00-00 00:00:00"
"124","ルーマニアンデッドリフト","10","15","3","AE","0000-00-00 00:00:00","0000-00-00 00:00:00"
"125","スミススクワット","10","15","3","AF","0000-00-00 00:00:00","0000-00-00 00:00:00"
"126","ブルガリアンスクワット","10","15","3","AF","0000-00-00 00:00:00","0000-00-00 00:00:00"
"127","レッグカール","10","15","3","AF","0000-00-00 00:00:00","0000-00-00 00:00:00"
"128","レッグプレス","10","15","3","AF","0000-00-00 00:00:00","0000-00-00 00:00:00"
"129","デッドリフト","10","15","3","AG","0000-00-00 00:00:00","0000-00-00 00:00:00"
"130","ルーマニアンデッドリフト","10","15","3","AG","0000-00-00 00:00:00","0000-00-00 00:00:00"
"131","ヒップスラスト","10","15","3","AG","0000-00-00 00:00:00","0000-00-00 00:00:00"
"132","レッグレイズ","10","15","3","AG","0000-00-00 00:00:00","0000-00-00 00:00:00"
"133","ブルガリアンスクワット","10","15","3","AH","0000-00-00 00:00:00","0000-00-00 00:00:00"
"134","レッグカール","10","15","3","AH","0000-00-00 00:00:00","0000-00-00 00:00:00"
"135","ヒップスラスト","10","15","3","AH","0000-00-00 00:00:00","0000-00-00 00:00:00"
"136","ルーマニアンデッドリフト","10","15","3","AH","0000-00-00 00:00:00","0000-00-00 00:00:00"
"137","スミススクワット","10","15","3","AI","0000-00-00 00:00:00","0000-00-00 00:00:00"
"138","ブルガリアンスクワット","10","15","3","AI","0000-00-00 00:00:00","0000-00-00 00:00:00"
"139","レッグカール","10","15","3","AI","0000-00-00 00:00:00","0000-00-00 00:00:00"
"140","レッグレイズ","10","15","3","AI","0000-00-00 00:00:00","0000-00-00 00:00:00"
"141","デッドリフト","10","15","3","AJ","0000-00-00 00:00:00","0000-00-00 00:00:00"
"142","レッグプレス","10","15","3","AJ","0000-00-00 00:00:00","0000-00-00 00:00:00"
"143","レッグカール","10","15","3","AJ","0000-00-00 00:00:00","0000-00-00 00:00:00"
"144","ヒップスラスト","10","15","3","AJ","0000-00-00 00:00:00","0000-00-00 00:00:00"
"145","インクラインベンチプレス","8","12","3","AK","0000-00-00 00:00:00","0000-00-00 00:00:00"
"146","ブルガリアンスクワット","10","15","3","AK","0000-00-00 00:00:00","0000-00-00 00:00:00"
"147","ラットプルダウン","10","15","3","AK","0000-00-00 00:00:00","0000-00-00 00:00:00"
"148","ケーブルプッシュダウン","15","20","3","AK","0000-00-00 00:00:00","0000-00-00 00:00:00"
"149","インクラインベンチプレス","8","12","3","AL","0000-00-00 00:00:00","0000-00-00 00:00:00"
"150","ダンベルフライ","10","15","3","AL","0000-00-00 00:00:00","0000-00-00 00:00:00"
"151","サイドレイズ","10","15","3","AL","0000-00-00 00:00:00","0000-00-00 00:00:00"
"152","ケーブルプッシュダウン","15","20","3","AL","0000-00-00 00:00:00","0000-00-00 00:00:00"
"153","ブルガリアンスクワット","10","15","3","AM","0000-00-00 00:00:00","0000-00-00 00:00:00"
"154","ルーマニアンデッドリフト","10","15","3","AM","0000-00-00 00:00:00","0000-00-00 00:00:00"
"155","ラットプルダウン","10","15","3","AM","0000-00-00 00:00:00","0000-00-00 00:00:00"
"156","アブローラー","10","15","3","AM","0000-00-00 00:00:00","0000-00-00 00:00:00"
"157","インクラインベンチプレス","8","12","3","AN","0000-00-00 00:00:00","0000-00-00 00:00:00"
"158","ダンベルフライ","10","15","3","AN","0000-00-00 00:00:00","0000-00-00 00:00:00"
"159","サイドレイズ","10","15","3","AN","0000-00-00 00:00:00","0000-00-00 00:00:00"
"160","ケーブルプッシュダウン","15","20","3","AN","0000-00-00 00:00:00","0000-00-00 00:00:00"
"161","スクワット","10","15","3","AO","0000-00-00 00:00:00","0000-00-00 00:00:00"
"162","ブルガリアンスクワット","10","15","3","AO","0000-00-00 00:00:00","0000-00-00 00:00:00"
"163","ルーマニアンデッドリフト","10","15","3","AO","0000-00-00 00:00:00","0000-00-00 00:00:00"
"164","アブローラー","10","15","3","AO","0000-00-00 00:00:00","0000-00-00 00:00:00"
"165","ショルダープレス","10","15","3","AP","0000-00-00 00:00:00","0000-00-00 00:00:00"
"166","サイドレイズ","15","20","3","AP","0000-00-00 00:00:00","0000-00-00 00:00:00"
"167","ラットプルダウン","10","15","3","AP","0000-00-00 00:00:00","0000-00-00 00:00:00"
"168","シーテッドロウ","10","15","3","AP","0000-00-00 00:00:00","0000-00-00 00:00:00"
"169","インクラインベンチプレス","8","12","3","AQ","0000-00-00 00:00:00","0000-00-00 00:00:00"
"170","ダンベルフライ","10","15","3","AQ","0000-00-00 00:00:00","0000-00-00 00:00:00"
"171","ケーブルクロスオーバー","15","20","3","AQ","0000-00-00 00:00:00","0000-00-00 00:00:00"
"172","ケーブルプッシュダウン","15","20","3","AQ","0000-00-00 00:00:00","0000-00-00 00:00:00"
"173","スクワット","10","15","3","AR","0000-00-00 00:00:00","0000-00-00 00:00:00"
"174","ブルガリアンスクワット","10","15","3","AR","0000-00-00 00:00:00","0000-00-00 00:00:00"
"175","レッグカール","10","15","3","AR","0000-00-00 00:00:00","0000-00-00 00:00:00"
"176","レッグレイズ","10","15","3","AR","0000-00-00 00:00:00","0000-00-00 00:00:00"
"177","ショルダープレス","10","15","3","AS","0000-00-00 00:00:00","0000-00-00 00:00:00"
"178","サイドレイズ","15","20","3","AS","0000-00-00 00:00:00","0000-00-00 00:00:00"
"179","リアレイズ","10","15","3","AS","0000-00-00 00:00:00","0000-00-00 00:00:00"
"180","ディップス","10","15","3","AS","0000-00-00 00:00:00","0000-00-00 00:00:00"
"181","ラットプルダウン","10","15","3","AT","0000-00-00 00:00:00","0000-00-00 00:00:00"
"182","シーテッドロウ","10","15","3","AT","0000-00-00 00:00:00","0000-00-00 00:00:00"
"183","ルーマニアンデッドリフト","10","15","3","AT","0000-00-00 00:00:00","0000-00-00 00:00:00"
"184","アブローラー","10","15","3","AT","0000-00-00 00:00:00","0000-00-00 00:00:00"
