ベンチプレス,8,12,3,A,https://www.youtube.com/embed/EnncONDxMWU
スクワット,8,12,3,A,https://www.youtube.com/embed/Ooh9UadsZgc
ラットプルダウン,8,12,3,A,https://www.youtube.com/embed/HKWTXnnMTnA
クランチ,15,20,3,A,https://www.youtube.com/embed/eDYn0DXfc5g
ベンチプレス,8,12,3,B,https://www.youtube.com/embed/EnncONDxMWU
ショルダープレス,8,12,3,B,https://www.youtube.com/embed/BNycNbf976k
ケーブルプッシュダウン,10,15,3,B,https://www.youtube.com/embed/bcHyj5v44wc
クランチ,15,20,3,B,https://www.youtube.com/embed/eDYn0DXfc5g
スクワット,8,12,3,C,https://www.youtube.com/embed/Ooh9UadsZgc
ラットプルダウン,8,12,3,C,https://www.youtube.com/embed/HKWTXnnMTnA
アームカール,8,12,3,C,https://www.youtube.com/embed/RFhNsarWNc0
アブローラー,15,20,3,C,https://www.youtube.com/embed/0elA_tn8m_A
ベンチプレス,8,12,3,D,https://www.youtube.com/embed/EnncONDxMWU
ショルダープレス,8,12,3,D,https://www.youtube.com/embed/BNycNbf976k
サイドレイズ,8,12,3,D,https://www.youtube.com/embed/iyG4kZcc_tY
ケーブルプッシュダウン,15,20,3,D,https://www.youtube.com/embed/bcHyj5v44wc
ラットプルダウン,8,12,3,E,https://www.youtube.com/embed/HKWTXnnMTnA
シーテッドローイング,8,12,3,E,https://www.youtube.com/embed/oWemJmyof-g
アームカール,8,12,3,E,https://www.youtube.com/embed/RFhNsarWNc0
クランチ,15,20,3,E,https://www.youtube.com/embed/eDYn0DXfc5g
スクワット,8,12,3,F,https://www.youtube.com/embed/Ooh9UadsZgc
レッグエクステンション,10,15,3,F,https://www.youtube.com/embed/7TYGDkrfv-c
ブルガリアンスクワット,10,15,3,F,https://www.youtube.com/embed/qT_9rcwDTLI
アブローラー,15,20,3,F,https://www.youtube.com/embed/0elA_tn8m_A
ベンチプレス,8,12,3,G,https://www.youtube.com/embed/EnncONDxMWU
ダンベルフライ,10,15,3,G,https://www.youtube.com/embed/lJgYWy4FMIw
ショルダープレス,8,12,3,G,https://www.youtube.com/embed/BNycNbf976k
ケーブルプッシュダウン,15,20,3,G,https://www.youtube.com/embed/bcHyj5v44wc
スクワット,8,12,3,H,https://www.youtube.com/embed/Ooh9UadsZgc
レッグエクステンション,10,15,3,H,https://www.youtube.com/embed/7TYGDkrfv-c
ブルガリアンスクワット,10,15,3,H,https://www.youtube.com/embed/qT_9rcwDTLI
アブローラー,15,20,3,H,https://www.youtube.com/embed/0elA_tn8m_A
インクラインベンチプレス,8,12,3,I,https://www.youtube.com/embed/9dWFuDJIEKE
チェストプレス,8,12,3,I,https://www.youtube.com/embed/oLhXVJq_ZxU
サイドレイズ,10,15,3,I,https://www.youtube.com/embed/iyG4kZcc_tY
バーベルカール,10,15,3,I,https://www.youtube.com/embed/RFhNsarWNc0
ラットプルダウン,8,12,3,J,https://www.youtube.com/embed/HKWTXnnMTnA
シーテッドローイング,8,12,3,J,https://www.youtube.com/embed/oWemJmyof-g
ルーマニアンデッドリフト,8,12,3,J,https://www.youtube.com/embed/i0wMqM5iKqg
クランチ,15,20,3,J,https://www.youtube.com/embed/eDYn0DXfc5g
ベンチプレス,8,12,3,K,https://www.youtube.com/embed/EnncONDxMWU
インクラインベンチプレス,8,12,3,K,https://www.youtube.com/embed/9dWFuDJIEKE
ケーブルクロスオーバー,10,15,3,K,https://www.youtube.com/embed/brKDh7AIOuw
ケーブルプッシュダウン,15,20,3,K,https://www.youtube.com/embed/bcHyj5v44wc
スクワット,8,12,3,L,https://www.youtube.com/embed/Ooh9UadsZgc
レッグエクステンション,10,15,3,L,https://www.youtube.com/embed/7TYGDkrfv-c
レッグカール,10,15,3,L,https://www.youtube.com/embed/xMcjjK0E0m8
アブローラー,15,20,3,L,https://www.youtube.com/embed/0elA_tn8m_A
チェストプレス,8,12,3,M,https://www.youtube.com/embed/oLhXVJq_ZxU
ショルダープレス,8,12,3,M,https://www.youtube.com/embed/BNycNbf976k
サイドレイズ,10,15,3,M,https://www.youtube.com/embed/iyG4kZcc_tY
ディップス,15,20,3,M,https://www.youtube.com/embed/Aa3UT4KG7WY
ブルガリアンスクワット,8,12,3,N,https://www.youtube.com/embed/qT_9rcwDTLI
レッグカール,8,12,3,N,https://www.youtube.com/embed/xMcjjK0E0m8
アームカール,8,12,3,N,https://www.youtube.com/embed/RFhNsarWNc0
有酸素運動（自由）,20,30,3,N,
ラットプルダウン,10,15,3,O,https://www.youtube.com/embed/HKWTXnnMTnA
シーテッドローイング,10,15,3,O,https://www.youtube.com/embed/oWemJmyof-g
ルーマニアンデッドリフト,10,15,3,O,https://www.youtube.com/embed/i0wMqM5iKqg
クランチ,15,20,3,O,https://www.youtube.com/embed/eDYn0DXfc5g
ベンチプレス,6,10,3,P,https://www.youtube.com/embed/EnncONDxMWU
スクワット,6,10,3,P,https://www.youtube.com/embed/Ooh9UadsZgc
デッドリフト,6,10,3,P,https://www.youtube.com/embed/i0wMqM5iKqg
クランチ,15,20,3,P,https://www.youtube.com/embed/eDYn0DXfc5g
ベンチプレス,6,10,3,Q,https://www.youtube.com/embed/EnncONDxMWU
ショルダープレス,8,12,3,Q,https://www.youtube.com/embed/BNycNbf976k
ケーブルプッシュダウン,10,15,3,Q,https://www.youtube.com/embed/bcHyj5v44wc
クランチ,15,20,3,Q,https://www.youtube.com/embed/eDYn0DXfc5g
スクワット,6,10,3,R,https://www.youtube.com/embed/Ooh9UadsZgc
ラットプルダウン,8,12,3,R,https://www.youtube.com/embed/HKWTXnnMTnA
デッドリフト,6,10,3,R,https://www.youtube.com/embed/i0wMqM5iKqg
アームカール,15,20,3,R,https://www.youtube.com/embed/RFhNsarWNc0
ベンチプレス,8,12,3,S,https://www.youtube.com/embed/EnncONDxMWU
ショルダープレス,8,12,3,S,https://www.youtube.com/embed/BNycNbf976k
サイドレイズ,8,12,3,S,https://www.youtube.com/embed/iyG4kZcc_tY
ケーブルプッシュダウン,15,20,3,S,https://www.youtube.com/embed/bcHyj5v44wc
ラットプルダウン,8,12,3,T,https://www.youtube.com/embed/HKWTXnnMTnA
シーテッドローイング,8,12,3,T,https://www.youtube.com/embed/oWemJmyof-g
アームカール,8,12,3,T,https://www.youtube.com/embed/RFhNsarWNc0
クランチ,15,20,3,T,https://www.youtube.com/embed/eDYn0DXfc5g
スクワット,8,12,3,U,https://www.youtube.com/embed/Ooh9UadsZgc
レッグエクステンション,10,15,3,U,https://www.youtube.com/embed/7TYGDkrfv-c
ブルガリアンスクワット,10,15,3,U,https://www.youtube.com/embed/qT_9rcwDTLI
アブローラー,15,20,3,U,https://www.youtube.com/embed/0elA_tn8m_A
ベンチプレス,6,10,3,V,https://www.youtube.com/embed/EnncONDxMWU
インクラインベンチプレス,8,12,3,V,https://www.youtube.com/embed/9dWFuDJIEKE
ダンベルフライ,10,15,3,V,https://www.youtube.com/embed/lJgYWy4FMIw
ケーブルプッシュダウン,10,15,3,V,https://www.youtube.com/embed/bcHyj5v44wc
スクワット,6,10,3,W,https://www.youtube.com/embed/Ooh9UadsZgc
レッグエクステンション,10,15,3,W,https://www.youtube.com/embed/7TYGDkrfv-c
ブルガリアンスクワット,10,15,3,W,https://www.youtube.com/embed/qT_9rcwDTLI
アブローラー,10,15,3,W,https://www.youtube.com/embed/0elA_tn8m_A
ショルダープレス,8,12,3,X,https://www.youtube.com/embed/BNycNbf976k
サイドレイズ,10,15,3,X,https://www.youtube.com/embed/iyG4kZcc_tY
リアレイズ,10,15,3,X,https://www.youtube.com/embed/5aiiFN6SqQU
ディップス,15,20,3,X,https://www.youtube.com/embed/Aa3UT4KG7WY
デッドリフト,6,10,3,Y,https://www.youtube.com/embed/i0wMqM5iKqg
ラットプルダウン,10,15,3,Y,https://www.youtube.com/embed/HKWTXnnMTnA
シーテッドローイング,10,15,3,Y,https://www.youtube.com/embed/oWemJmyof-g
アームカール,10,15,3,Y,https://www.youtube.com/embed/RFhNsarWNc0
ベンチプレス,6,10,3,Z,https://www.youtube.com/embed/EnncONDxMWU
インクラインベンチプレス,8,12,3,Z,https://www.youtube.com/embed/9dWFuDJIEKE
アームカール,10,15,3,Z,https://www.youtube.com/embed/RFhNsarWNc0
ケーブルクロスオーバー,10,15,3,Z,https://www.youtube.com/embed/brKDh7AIOuw
アームカール,10,15,3,AA,https://www.youtube.com/embed/RFhNsarWNc0
ケーブルプッシュダウン,10,15,3,AA,https://www.youtube.com/embed/bcHyj5v44wc
インクラインアームカール,10,15,3,AA,https://www.youtube.com/embed/VvDcIj-k5r0
トライセプスエクステンション,10,15,3,AA,https://www.youtube.com/embed/N_gN0ZmWhOg
スクワット,6,10,3,AB,https://www.youtube.com/embed/Ooh9UadsZgc
レッグエクステンション,10,15,3,AB,https://www.youtube.com/embed/7TYGDkrfv-c
レッグカール,10,15,3,AB,https://www.youtube.com/embed/xMcjjK0E0m8
ブルガリアンスクワット,10,15,3,AB,https://www.youtube.com/embed/qT_9rcwDTLI
ショルダープレス,8,12,3,AC,https://www.youtube.com/embed/BNycNbf976k
サイドレイズ,10,15,3,AC,https://www.youtube.com/embed/iyG4kZcc_tY
リアレイズ,10,15,3,AC,https://www.youtube.com/embed/5aiiFN6SqQU
ディップス,15,20,3,AC,https://www.youtube.com/embed/Aa3UT4KG7WY
デッドリフト,6,10,3,AD,https://www.youtube.com/embed/i0wMqM5iKqg
ラットプルダウン,8,12,3,AD,https://www.youtube.com/embed/HKWTXnnMTnA
ベントオーバーロウ,8,12,3,AD,https://www.youtube.com/embed/MaKZGjih2Es
ハンマーカール,10,15,3,AD,https://www.youtube.com/embed/cplAEbHga_k
ブルガリアンスクワット,10,15,3,AE,https://www.youtube.com/embed/qT_9rcwDTLI
ヒップスラスト,10,15,3,AE,
レッグカール,10,15,3,AE,https://www.youtube.com/embed/xMcjjK0E0m8
ルーマニアンデッドリフト,10,15,3,AE,https://www.youtube.com/embed/i0wMqM5iKqg
スミススクワット,10,15,3,AF,https://www.youtube.com/embed/Ooh9UadsZgc
ブルガリアンスクワット,10,15,3,AF,https://www.youtube.com/embed/qT_9rcwDTLI
レッグカール,10,15,3,AF,https://www.youtube.com/embed/xMcjjK0E0m8
レッグプレス,10,15,3,AF,https://www.youtube.com/embed/XdLMU3uqKvI
デッドリフト,10,15,3,AG,https://www.youtube.com/embed/i0wMqM5iKqg
ルーマニアンデッドリフト,10,15,3,AG,https://www.youtube.com/embed/i0wMqM5iKqg
ヒップスラスト,10,15,3,AG,
レッグレイズ,10,15,3,AG,
ブルガリアンスクワット,10,15,3,AH,https://www.youtube.com/embed/qT_9rcwDTLI
レッグカール,10,15,3,AH,https://www.youtube.com/embed/xMcjjK0E0m8
ヒップスラスト,10,15,3,AH,
ルーマニアンデッドリフト,10,15,3,AH,https://www.youtube.com/embed/i0wMqM5iKqg
スミススクワット,10,15,3,AI,https://www.youtube.com/embed/Ooh9UadsZgc
ブルガリアンスクワット,10,15,3,AI,https://www.youtube.com/embed/qT_9rcwDTLI
レッグカール,10,15,3,AI,https://www.youtube.com/embed/xMcjjK0E0m8
レッグレイズ,10,15,3,AI,
デッドリフト,10,15,3,AJ,https://www.youtube.com/embed/i0wMqM5iKqg
レッグプレス,10,15,3,AJ,https://www.youtube.com/embed/XdLMU3uqKvI
レッグカール,10,15,3,AJ,https://www.youtube.com/embed/xMcjjK0E0m8
ヒップスラスト,10,15,3,AJ,
インクラインベンチプレス,8,12,3,AK,https://www.youtube.com/embed/9dWFuDJIEKE
ブルガリアンスクワット,10,15,3,AK,https://www.youtube.com/embed/qT_9rcwDTLI
ラットプルダウン,10,15,3,AK,https://www.youtube.com/embed/HKWTXnnMTnA
ケーブルプッシュダウン,15,20,3,AK,https://www.youtube.com/embed/bcHyj5v44wc
インクラインベンチプレス,8,12,3,AL,https://www.youtube.com/embed/9dWFuDJIEKE
ダンベルフライ,10,15,3,AL,https://www.youtube.com/embed/lJgYWy4FMIw
サイドレイズ,10,15,3,AL,https://www.youtube.com/embed/iyG4kZcc_tY
ケーブルプッシュダウン,15,20,3,AL,https://www.youtube.com/embed/bcHyj5v44wc
ブルガリアンスクワット,10,15,3,AM,https://www.youtube.com/embed/qT_9rcwDTLI
ルーマニアンデッドリフト,10,15,3,AM,https://www.youtube.com/embed/i0wMqM5iKqg
ラットプルダウン,10,15,3,AM,https://www.youtube.com/embed/HKWTXnnMTnA
アブローラー,10,15,3,AM,https://www.youtube.com/embed/0elA_tn8m_A
インクラインベンチプレス,8,12,3,AN,https://www.youtube.com/embed/9dWFuDJIEKE
ダンベルフライ,10,15,3,AN,https://www.youtube.com/embed/lJgYWy4FMIw
サイドレイズ,10,15,3,AN,https://www.youtube.com/embed/iyG4kZcc_tY
ケーブルプッシュダウン,15,20,3,AN,https://www.youtube.com/embed/bcHyj5v44wc
スクワット,10,15,3,AO,https://www.youtube.com/embed/Ooh9UadsZgc
ブルガリアンスクワット,10,15,3,AO,https://www.youtube.com/embed/qT_9rcwDTLI
ルーマニアンデッドリフト,10,15,3,AO,https://www.youtube.com/embed/i0wMqM5iKqg
アブローラー,10,15,3,AO,https://www.youtube.com/embed/0elA_tn8m_A
ショルダープレス,10,15,3,AP,https://www.youtube.com/embed/BNycNbf976k
サイドレイズ,15,20,3,AP,https://www.youtube.com/embed/iyG4kZcc_tY
ラットプルダウン,10,15,3,AP,https://www.youtube.com/embed/HKWTXnnMTnA
シーテッドローイング,10,15,3,AP,https://www.youtube.com/embed/oWemJmyof-g
インクラインベンチプレス,8,12,3,AQ,https://www.youtube.com/embed/9dWFuDJIEKE
ダンベルフライ,10,15,3,AQ,https://www.youtube.com/embed/lJgYWy4FMIw
ケーブルクロスオーバー,15,20,3,AQ,https://www.youtube.com/embed/brKDh7AIOuw
ケーブルプッシュダウン,15,20,3,AQ,https://www.youtube.com/embed/bcHyj5v44wc
スクワット,10,15,3,AR,https://www.youtube.com/embed/Ooh9UadsZgc
ブルガリアンスクワット,10,15,3,AR,https://www.youtube.com/embed/qT_9rcwDTLI
レッグカール,10,15,3,AR,https://www.youtube.com/embed/xMcjjK0E0m8
レッグレイズ,10,15,3,AR,
ショルダープレス,10,15,3,AS,https://www.youtube.com/embed/BNycNbf976k
サイドレイズ,15,20,3,AS,https://www.youtube.com/embed/iyG4kZcc_tY
リアレイズ,10,15,3,AS,https://www.youtube.com/embed/5aiiFN6SqQU
ディップス,10,15,3,AS,https://www.youtube.com/embed/Aa3UT4KG7WY
ラットプルダウン,10,15,3,AT,https://www.youtube.com/embed/HKWTXnnMTnA
シーテッドローイング,10,15,3,AT,https://www.youtube.com/embed/oWemJmyof-g
ルーマニアンデッドリフト,10,15,3,AT,https://www.youtube.com/embed/i0wMqM5iKqg
アブローラー,10,15,3,AT,https://www.youtube.com/embed/0elA_tn8m_A